id,name,category,area,url,description,phone,address,hours,closed,fee,access,parking,website
"10674","ヘルシーランド露天風呂「たまて箱温泉」 （ヘルシーランドロテンブロ「タマテバコオンセン」） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10674/","","0993-35-3577（ヘルシーランド露天風呂「たまて箱温泉」）","鹿児島県指宿市山川福元3292番地","9：30～19：30 (受付終了19：00)","木曜日 （祝日の場合は翌日）","【施設使用料】 大人（中学生以上）900円 小人（小学生以下）：600円 ※3歳未満無料 【施設使用料（特別期間）】 ※特別期間については、以下の特別料金となります。 大人（中学生以上）：1,500円(※入湯税100円含む) 小人（小学生以下）：700円 ※3歳未満無料 【追加オプション】 記念タオル：300円 レンタルバスタオル：300円 ※タオル類は持込も可能です。","［車］ ・ＪＲ山川駅から約10分 ・ＪＲ指宿駅から約15分 ・九州自動車道・鹿児島ＩＣから国道226号を南下、指宿市街地を経由して約60分 ［バス］ ・鹿児島交通「たまて箱温泉」バス停下車 ※下記「バス時刻表」のリンクをご参照ください","有","https://www.ibusuki.or.jp/spa/open/tamatebako/"
"10527","天文館 （てんもんかん） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10527/","","099-216-1327（鹿児島市観光振興課）","〒892-0842 鹿児島県鹿児島市東千石町","","","","市電「天文館通」下車","","https://www.kagoshima-yokanavi.jp/spot?rta%5B%5D=3&rtd=&q=&lat=&lng=&st=acs&vw=tile"
"10113","霧島神宮 （キリシマジングウ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10113/","","0995-57-0001（霧島神宮）","鹿児島県霧島市霧島田口2608-5","8：00～17：30（授与所）","無休","入場、参拝無料","［車］ ・九州自動車道「溝辺鹿児島空港ＩＣ」から約40分 ［バス］ ・鹿児島空港から「霧島神宮アクセスバス」で約1時間 ・ＪＲ日豊本線「霧島神宮」駅より、霧島いわさきホテル行きバスで約15分、「霧島神宮」下車後すぐ","有","https://kirishimajingu.or.jp/"
"11054","知覧特攻平和会館 （チラントッコウヘイワカイカン） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/11054/","","0993-83-2525","〒897-0302 鹿児島県南九州市知覧町郡17881","9：00～17：00（入館16：30まで）","無休","［入館料］ 大人 500円 小人（小・中学生）300円 「ミュージアム知覧」 との共通券 大人 600円 小人 400円 ※他，減免等あります。詳細は，公式ホームページを御確認下さい。","［車］ ・鹿児島空港から約1時間5分（高速道路を使用） ・鹿児島中央駅から約45分","有","http://www.chiran-tokkou.jp/index.html"
"10578","桜島 （さくらじま） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10578/","","","〒891-1410 鹿児島県鹿児島市桜島横山町61-4","","","","・市街地から市電「水族館口」下車徒歩8分で鹿児島港桜島フェリーターミナルへ、鹿児島港から桜島フェリーで約15分 ・市街地から市営バス16番で「水族館前下車」徒歩約3分で鹿児島港桜島フェリーターミナルへ、鹿児島港から桜島フェリーで約15分","","https://www.kagoshima-yokanavi.jp/article/sakurajima"
"51100","雄川の滝 （おがわのたき） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/51100/","","0994-24-3115（南大隅町企画観光課）","鹿児島県南大隅町根占","※夜間の立入はご遠慮ください","無休 ※悪天候時や上流での雨量が多くなった場合は、危険防止の観点から遊歩道への立入を禁止いたします。突発的な降雨の際も、立入を禁止する場合もございますので、あらかじめご了承ください。","大人（中学生以上）300円、小学生150円、未就学児無料 ※令和6年7月1日から利用者負担制度を導入しました。 持続可能な形で利用者の安全、利便性及び豊かな自然環境を維持することを目的とするものです。ご来訪される皆様には、本制度の趣旨へのご理解、ご協力の程よろしくお願いいたします。詳細は南大隅町ホームページをご覧ください。","［車］ ・鹿児島空港から約1時間45分（高速道路使用） ・鹿児島中央駅から （鹿児島港⇔桜島港フェリー15分経由）約2時間 （鴨池港⇔垂水港フェリー45分経由）約2時間 （有料道路使用）約2時間10分 ・志布志港から約1時間50分 ・根占港から約10分（指宿港⇔根占港 高速船約20分、山川港⇔根占港 フェリーなんきゅう約50分）","有","https://satamisaki.com/p_category/ogawanotaki"
"10734","縄文杉 （じょうもんすぎ） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10734/","","0997-43-5900（屋久島町）","鹿児島県熊毛郡屋久島町","","","","(荒川登山口まで） ［車］ ・宮之浦港から「屋久杉自然館前」まで約40分、屋久杉自然館から荒川登山口バス停まで登山バスで約40分。 ・屋久島空港から「屋久杉自然館」まで約20分、屋久杉自然館から荒川登山口バス停まで登山バスで約40分。 ※詳細なアクセスは関連リンクからご確認ください ※バスチケットは前日までに購入ください ※登山口から縄文杉までは徒歩往復約8～10時間です","［3～11月］ 屋久杉自然館前約160台 ［12～2月］ 荒川登山口約20台","http://www.town.yakushima.kagoshima.jp/pickup/60706/"
"10682","山川砂むし温泉「砂湯里」 （やまがわすなむしおんせんさゆり） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10682/","","0993-35-2669","鹿児島県指宿市山川福元3339-3","8：30～17：30 （受付終了 16：30）","水曜日（荒天時は休業）","【砂むし料金】 大人 1100円 小人 600円（小学生以下） ※特別期間については、以下の特別料金となります。 大人(中学生以上) 1,500円 小人(小学生以下) 750円 ※料金は浴衣料込み ※タオル類は別料金","［車］ ・ＪＲ山川駅より約10分 ・鹿児島ＩＣ（九州自動車道）より約70分 ［バス］ ・鹿児島交通バスにて「たまて箱温泉」下車後、たまて箱温泉～砂湯里間を運行しているシャトルバスを利用。","有","https://www.instagram.com/healthyland3577/"
"10525","城山公園（展望台・自然遊歩道） （シロヤマコウエン（テンボウダイ・シゼンユウホドウ）） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10525/","","099-298-5111（観光交流センター）","鹿児島県鹿児島市城山町","","","","［車］ ・九州自動車道「鹿児島北IC」から国道経由約15分 ［バス］ ・鹿児島中央駅からカゴシマシティビュー・まち巡りバスで約25分、「城山」バス停下車すぐ","有","https://www.kagoshima-yokanavi.jp/article/sakurajima"
"10526","国指定名勝 仙巌園 （くにしていめいしょう せんがんえん） 登録済み 解除する 行きたい","","","https://www.kagoshima-kankou.com/guide/10526/","","099-247-1551","〒892-0871 鹿児島県鹿児島市吉野町9700-1","9:00～17:00","3月第1日曜日(鹿児島マラソンの為休業)","【仙巌園・尚古集成館・御殿】 ○ 一般(15歳以上、中高生を除く) 1,600円 ○ 団体(20名以上) 1,400円 ○ 小中学生・高校生 800円 ○ 小中学生・高校生(修学旅行・学校行事) 700円 ○ 障がい者手帳、鹿児島市敬老パスをお持ちの方 800円","・JR仙巌園駅下車すぐ ・鹿児島中央駅からカゴシマシティビューで約50分「仙巌園前」下車 ・JR鹿児島中央駅から車で約20分","あり（有料）","https://www.kagoshima-yokanavi.jp/article/senganen"
