id,name,kana,url,description,phone,address,hours,closed,fee,access,parking,website
"10006","国指定名勝 仙巌園 くにしていめいしょう せんがんえん","","https://www.kagoshima-yokanavi.jp/spot/10006","園内には、郷土料理が味わえるレストランや和カフェ、鹿児島の伝統工芸品や仙巌園限定のお土産を扱うショップ等も充実しています。","099-247-1551","〒892-0871 鹿児島県鹿児島市吉野町9700-1","9:00～17:00","3月第1日曜日(鹿児島マラソンの為休業)","【仙巌園・尚古集成館・御殿】 ○ 一般(15歳以上、中高生を除く) 1,600円 ○ 団体(20名以上) 1,400円 ○ 小中学生・高校生 800円 ○ 小中学生・高校生(修学旅行・学校行事) 700円 ○ 障がい者手帳、鹿児島市敬老パスをお持ちの方 800円","・JR仙巌園駅下車すぐ ・鹿児島中央駅からカゴシマシティビューで約50分「仙巌園前」下車 ・JR鹿児島中央駅から車で約20分","あり（有料）","https://kagoshima-barrierfree.com/barrier-furee/%e5%b3%b6%e6%b4%a5%e5%ae%b6%e5%88%a5%e9%82%b8-%e5%90%8d%e5%8b%9d-%e4%bb%99%e5%b7%8c%e5%9c%92/"
"10032","鹿児島市立美術館 かごしましりつびじゅつかん","","https://www.kagoshima-yokanavi.jp/spot/10032","鹿児島市立美術館の周辺には、博物館などの文化施設や高さ8mの西郷隆盛銅像、島津斉彬を祀る照国神社などがあり見どころが満載。","099-224-3400","〒892-0853 鹿児島県鹿児島市城山町4-36","9:30～18:00（入館は17:30まで）","月曜日（祝日の場合はその翌平日）、12月29日～1月1日","【市民料金】 一般 450円、 高校生・大学生 300円 小学生・中学生 220円 【市外料金】 一般 600円、 高校生・大学生 400円 小学生・中学生 300円","・カゴシマシティビュー「西郷銅像前」下車徒歩約3分 ・市電「市役所前」から徒歩約5分","あり","https://www.instagram.com/kcmoart_ig/"
"10002","城山（城山展望台・城山自然遊歩道） しろやま（しろやまてんぼうだい・しろやましぜんゆうほどう）","","https://www.kagoshima-yokanavi.jp/spot/10002","","","〒892-0853 鹿児島県鹿児島市城山町","","","","カゴシマシティビュー「城山」下車","普通車あり バスあり","https://kagoshima-barrierfree.com/barrier-furee/%e5%9f%8e%e5%b1%b1%e5%b1%95%e6%9c%9b%e6%89%80/"
"10027","天文館 てんもんかん","","https://www.kagoshima-yokanavi.jp/spot/10027","","099-216-1327","〒892-0842 鹿児島県鹿児島市東千石町","","","","市電「天文館通」下車","","https://tenmonkan.info/tenmonkan-dori/"
"20066","【指宿市】ヘルシーランド露天風呂「たまて箱温泉」 【いぶすきし】へるしーらんどろてんぶろ「たまてばこおんせん」","","https://www.kagoshima-yokanavi.jp/spot/20066","ヘルシーランド露天風呂「たまて箱温泉」 日本一にも輝く絶景の露天風呂がおすすめ！ 薩摩富士と呼ばれる美しい開聞岳と大海を望み、壮大な景色と一体になるような体験ができる露天風呂です。 また、砂むし温泉や温水プール、屋内風呂各種、ロウリュウサウナ、屋内こども広場、多目的広場等が楽しめる施設も周辺にあります。 なお、露天風呂は和風と洋風があり、奇数日と偶数日で男女の利用できる露天風呂が入れ替わります。 和風露天風呂（開聞岳側） 奇数日：女性 偶数日：男性 洋風露天風呂（竹山側） 奇数日：男性 偶数日：女性","0993-35-3577","〒891-0511 鹿児島県指宿市山川福元3292","9:30～19:30","木曜日（祝日の場合翌日）","中学生以上510円/小学生以下260円","・鹿児島中央駅から車で約1時間30分 ・鹿児島中央駅からJRで約1時間30分「山川駅」下車、山川駅からバス約14分「たまて箱温泉」下車","あり","https://www.kagoshima-kankou.com/guide/10672/"
"10025","湯之平展望所 ゆのひらてんぼうしょ","","https://www.kagoshima-yokanavi.jp/spot/10025","","","〒891-1418 鹿児島県鹿児島市桜島小池町1025","展望所：見学自由 売店：9:00～17:00","","","桜島フェリーターミナル桜島港からサクラジマアイランドビュー約40分「湯之平展望所」下車","あり","https://kagoshima-barrierfree.com/barrier-furee/%e6%b9%af%e4%b9%8b%e5%b9%b3%e5%b1%95%e6%9c%9b%e6%89%80/"
"10030","いおワールドかごしま水族館 いおわーるどかごしますいぞくかん","","https://www.kagoshima-yokanavi.jp/spot/10030","","099-226-2233","〒892-0814 鹿児島県鹿児島市本港新町3-1","9:30～18:00（入館は17:00まで) ＧＷ、夏休みの土日祝日、お盆、クリスマスイブなどは21:00まで営業","12月第1月曜日から4日間","【市民料金】 ・大人（高校生以上）1500円 ・小人（小中学生）750円 【市外料金】 ・大人（高校生以上）2000円 ・小人（小中学生）1000円","・市電「水族館口」から徒歩約8分 ・市営バス16番線「水族館前」下車徒歩約1分 ・カゴシマシティビュー「かごしま水族館前（桜島桟橋）」下車","あり","https://qrtranslator.com/0000007590/000011"
"10046","有村溶岩展望所 ありむらようがんてんぼうじょ","","https://www.kagoshima-yokanavi.jp/spot/10046","","099-216-1327","〒891-1545 鹿児島県鹿児島市有村町952","","","","桜島港桜島フェリーターミナルから車で約20分","","https://kagoshima-barrierfree.com/barrier-furee/%e6%9c%89%e6%9d%91%e6%ba%b6%e5%b2%a9%e5%b1%95%e6%9c%9b%e6%89%80/"
"10029","鹿児島市平川動物公園 かごしましりつひらかわどうぶつこうえん","","https://www.kagoshima-yokanavi.jp/spot/10029","園内には、どこか懐かしい雰囲気の遊園地も併設されています。メリーゴーランドや観覧車、ゴーカートなど、家族みんなで楽しめます。","099-261-2326","〒891-0133 鹿児島県鹿児島市平川町5669-1","9:00～17:00（入園は16:30まで）","12月29日～1月1日","【市民料金】 一般（高校生以上） 750円、 小中学生 150円 【市外料金】 一般（高校生以上） 1000円、 小中学生 200円 幼児 無料","・鹿児島中央駅から約25分「五位野駅」下車、徒歩約20分または「福平農協前」からバス約５分「動物園」下車 ・鹿児島中央駅から車で約30分","普通車あり バスあり","https://qrtranslator.com/0000007590/000013"
"20063","【霧島市】霧島神宮 【きりしまし】きりしまじんぐう","","https://www.kagoshima-yokanavi.jp/spot/20063","霧島市にある霧島神宮は、鹿児島中央駅から車で約１時間20分のところにあります。 濃い緑に包まれた参道・境内を抜けると、格調高い朱塗りの社殿があらわれます。建国神話の主人公である瓊瓊杵尊（ニニギノミコト）を祀った霧島神宮は、創建が6世紀と古い歴史を誇る神社です。 最初は高千穂峰と火常峰（御鉢）の間にある背門丘に建てられたといわれていますが、霧島山の噴火による消失と再建を繰り返し、500年以上前に現在の場所に移されました。 現在の社殿は島津氏第21代当主（第4代薩摩藩主）島津吉貴が、1715年に建立・寄進したものです。年間100以上の祭儀が行われ、中でも元旦と2月11日に本殿で奉納される九面太鼓は、勇壮な郷土芸能として県内外から注目を集めています。 この近辺には霧島の七不思議や古宮址などもあります。桜の時期には薄桃の花が、紅葉の時期には紅葉の赤と鳥居の朱がよく映えます。","0995-57-0001","〒099-5570 鹿児島県霧島市霧島田口2608-5","","","","・鹿児島中央駅から車で約1時間20分 ・鹿児島中央駅からJR日豊本線「霧島神宮」下車、霧島いわさきホテル行きバスで約15分「霧島神宮」下車","あり","https://www.kagoshima-kankou.com/guide/10114/"
"10022","「桜島」溶岩なぎさ公園足湯 「さくらじま」ようがんなぎさこうえんあしゆ","","https://www.kagoshima-yokanavi.jp/spot/10022","足湯がある溶岩なぎさ公園の周辺は、遊歩道や展望台、桜島の歴史を紹介している桜島ビジターセンターなどがあり、魅力的なスポットが満載。","","〒891-1419 鹿児島県鹿児島市桜島横山町1722-3","9:00～日没","無休","","・桜島港フェリーターミナルから徒歩約10分 ・桜島港フェリーターミナルからサクラジマアイランドビュー「ビジターセンター」下車徒歩約1分","あり","https://kagoshima-barrierfree.com/barrier-furee/%e6%a1%9c%e5%b3%b6%e6%ba%b6%e5%b2%a9%e3%81%aa%e3%81%8e%e3%81%95%e5%85%ac%e5%9c%92%e8%b6%b3%e6%b9%af/"
"10023","桜島ビジターセンター さくらじまびじたーせんたー","","https://www.kagoshima-yokanavi.jp/spot/10023","桜島ビジターセンター内にあるミュージアムショップでは、桜島つばき油、溶岩プレートなどの溶岩商品、火山灰ジュエリーなど桜島にちなんだ商品が並んでいます。","099-293-2443","〒891-1419 鹿児島県鹿児島市桜島横山町1722-29","9:00～17:00","無休","","・桜島フェリーターミナル桜島港から徒歩約10分 ・桜島港フェリーターミナルからサクラジマアイランドビュー「ビジターセンター」下車","普通車あり","https://sakurajimatsubaki.com/"
"10005","西郷隆盛銅像 さいごうたかもりどうぞう","","https://www.kagoshima-yokanavi.jp/spot/10005","西郷隆盛銅像の周辺には、鶴丸城跡に建っている黎明館や鹿児島市立美術館、島津斉彬を祀る照国神社などがあり見どころが満載です。","","〒892-0853 鹿児島県鹿児島市城山町4-36","","","","・カゴシマシティビュー「西郷銅像前」下車 ・市電「朝日通」から徒歩約8分","","https://kagoshima-barrierfree.com/barrier-furee/%e8%a5%bf%e9%83%b7%e9%9a%86%e7%9b%9b%e9%8a%85%e5%83%8f%ef%bc%88%e4%b8%ad%e5%a4%ae%e5%85%ac%e5%9c%92%e3%83%88%e3%82%a4%e3%83%ac%ef%bc%89/"
"20047","鹿児島城（鶴丸城）御楼門 かごしまじょう つるまるじょう ごろうもん","","https://www.kagoshima-yokanavi.jp/spot/20047","","","〒892-0853 鹿児島県鹿児島市城山町7-2","","","","・カゴシマシティビュー「薩摩義士碑前」下車 ・市電「市役所前」から徒歩約10分","","https://www.pref.kagoshima.jp/kyoiku-bunka/bunka/goroumon/index.html"
